targeted_productivity,smv,wip,over_time,no_of_workers,month,actual_productivity,Department
0.75,3.94,,960,8,2,0.755166667,HR
0.65,30.1,909,7080,59,2,0.535677966,Finace
0.8,4.15,,1440,7,1,0.820833333,Finace
0.65,22.53,762,5040,42,2,0.581130952,Finace
0.7,30.1,767,3300,57,2,0.790003236,Finace
0.75,4.15,,1920,8,1,0.875390625,Finace
0.8,19.87,924,9900,55,1,0.800273829,Finace
0.7,2.9,,960,8,2,0.9425,Finace
0.8,22.52,1086,6960,58,2,0.799963218,HR
0.8,15.26,900,4080,34,2,0.800401961,IT
0.8,4.6,,6300,15,2,0.921703704,Finace
0.75,29.4,534,6840,57,3,0.750473684,Sales
0.35,22.94,1450,10080,56,1,0.400332792,Finace
0.8,15.26,854,4080,34,2,0.800401961,IT
0.8,29.12,1069,6960,58,2,0.799963218,HR
0.8,2.9,,4800,8,1,0.397743056,Sales
0.8,15.26,1021,4080,34,2,0.800401961,IT
0.8,2.9,,1440,8,1,0.681060606,Sales
0.7,30.1,667,5940,59.5,2,0.700588406,Finace
0.65,16.1,626,4200,45,3,0.65024031,Finace
0.8,11.41,968,3660,30.5,1,0.800570492,IT
0.7,4.15,,1800,15,2,0.258,Finace
0.8,22.52,1472,7020,58.5,2,0.85011396,Finace
0.7,4.15,,1440,8,1,1.033570076,Finace
0.8,11.61,1009,5640,32,1,0.800537143,Finace
0.8,22.52,1498,0,57,2,1.000065789,Finace
0.8,2.9,,1440,8,1,0.606912879,Sales
0.8,29.4,983,6840,57,3,0.800578947,Finace
0.8,22.52,1282,6720,56,2,0.850532143,IT
0.8,11.61,972,5670,31.5,1,0.800246753,Finace
0.7,2.9,,1800,15,2,0.902222222,IT
0.8,26.87,585,5670,31.5,1,0.662255892,IT
0.75,28.08,1209,10530,58.5,1,0.750545455,IT
0.8,11.61,712,7200,32,1,0.800246011,Finace
0.5,5.13,,1800,15,2,0.7866,Finace
0.7,21.25,1834,6360,53,2,0.471108491,IT
0.65,30.48,935,6840,57,3,0.650596491,Finace
0.8,26.16,1128,10620,59,1,0.800117103,HR
0.8,3.94,,1440,8,1,0.846950758,IT
0.7,5.13,,960,8,2,0.671875,Finace
0.8,29.4,1231,4680,57,3,0.800149813,Finace
0.75,2.9,,960,8,2,0.4078125,HR
0.8,3.94,,1440,12,2,0.664875,Finace
0.75,22.52,1635,6840,57,1,1.000230409,Finace
0.8,2.9,,960,8,2,0.483333333,Finace
0.8,3.94,,1440,8,1,0.858143939,HR
0.8,11.61,1039,5670,31.5,1,0.800246753,IT
0.8,4.6,,0,9,3,0.902962963,IT
0.75,3.94,,960,8,1,0.8865,Finace
0.8,3.94,,960,8,2,1.108125,Finace
0.5,20.1,1413,5880,54,1,0.500567308,IT
0.75,3.94,,1920,8,3,0.813309028,Finace
0.7,29.4,847,6960,58,2,0.700362069,Sales
0.8,4.15,,1620,9,1,0.901262626,Finace
0.7,2.9,,960,8,2,0.531666667,Finace
0.8,2.9,,1440,8,1,0.817424242,Finace
0.75,30.1,849,7020,58,2,0.750356125,Finace
0.75,2.9,,1800,15,3,0.821666667,HR
0.8,25.9,1292,10170,56.5,1,0.800128721,Sales
0.7,27.48,230,6960,58,3,0.700424138,Finace
0.8,11.41,986,5490,30.5,1,0.800343766,Finace
0.7,4.15,,9000,15,1,0.742901235,Finace
0.7,29.12,1143,10440,58,1,0.70061442,HR
0.8,26.16,1179,10620,59,1,0.850502311,Finace
0.7,29.12,1294,6960,58,1,0.700386207,HR
0.8,25.9,1066,10170,56.5,1,0.800128721,Finace
0.8,22.52,1413,360,57,2,0.900477825,Finace
0.8,2.9,,960,8,3,0.657083333,IT
0.8,25.9,1031,10170,56.5,1,0.850136766,Finace
0.75,26.82,1054,7080,59,3,0.750050847,Finace
0.8,25.9,1281,10170,56.5,1,0.850136766,Finace
0.7,4.15,,1800,15,2,0.929277778,Finace
0.7,18.79,1641,6000,50,2,0.60128,HR
0.6,3.94,,960,8,1,0.406354167,Finace
0.8,3.94,,1440,12,2,0.618361111,Finace
0.8,26.16,1261,7080,59,1,0.800318644,Sales
0.75,18.79,1226,3480,51,3,0.749987124,HR
0.8,3.94,,2400,10,1,0.939513889,IT
0.8,22.52,1350,6840,57,1,1.000230409,Finace
0.6,22.52,1140,10170,56.5,1,0.600291767,Finace
0.7,3.9,,960,8,2,0.440375,Finace
0.8,15.26,1062,4080,34,2,0.800401961,IT
0.5,30.1,1261,6960,58,2,0.500801724,Finace
0.7,26.82,1195,6960,58,3,0.800746552,Finace
0.7,3.94,,960,8,3,0.812625,Finace
0.8,2.9,,960,8,3,0.755208333,IT
0.8,11.61,1216,6975,31,1,0.800030199,IT
0.8,22.52,1546,0,57,2,0.90047076,Finace
0.75,3.94,,960,8,1,0.755166667,Finace
0.8,15.26,970,4080,34,2,0.800401961,IT
0.7,2.9,,960,8,2,0.495416667,Finace
0.65,3.94,,2400,8,1,0.505128205,Finace
0.75,18.79,759,3960,33,2,0.75065101,Finace
0.7,22.52,1095,10170,56.5,1,0.750062751,Finace
0.75,11.61,698,3360,57,2,0.750437269,IT
0.8,3.94,,4440,18,1,0.966781346,Finace
0.75,21.82,1499,6000,50,3,0.750608,IT
0.75,4.08,,1080,9,1,0.755555556,IT
0.6,15.28,529,1320,46,3,0.600099145,Finace
0.8,3.94,,960,8,2,0.607416667,HR
0.8,3.94,,960,8,1,0.915229167,Finace
0.75,3.94,,1440,12,1,0.861875,Finace
0.8,2.9,,1440,8,1,0.735984848,Sales
0.7,30.33,361,3960,58,2,0.700069811,Finace
0.8,3.94,,2160,18,2,0.875555556,Finace
0.75,18.79,913,3360,33,2,0.75065101,Finace
0.8,11.41,968,3660,30.5,1,0.800570492,IT
0.8,22.52,21266,6840,57,2,0.90014152,Finace
0.5,2.9,,1200,10,1,0.899,Finace
